,평점,일시,감상평
85,10,2020.02.13 16:30,썰물같은 거야 천천히 떠나지만 막을수는 없지이대사가 계속  맘에 남네요.착하고 원작에 충실한 좋은 영화에요.
86,4,2020.02.14 22:45,과거 현재 전환이 너무 정신없었고 이 구성이 집중력을 떨어뜨려요 너무 지루했어요
87,10,2020.02.14 17:09,티모시 샬라메 너무 멋있다.. 워낙 명작이야기라 내용은 두말할 것 없고 훌륭하네
88,10,2020.02.13 20:13,요즘 같은 날씨에 딱 어울린다.. 봄이 다가오는 느낌
89,10,2020.02.15 00:13,방금 보고 나왔는데도 또 보고싶다
90,1,2020.02.13 21:02,위노나 라이더의 작은 아씨들을 기대하고 봤지만감동도 없고 어느 캐릭터한테도 매력을 못 느꼈다. 억지 전개에 개연성없는 짜맞추기 느낌. 내용을 모르고 보는 사람은 뭔 내용일까 할듯. 심지어 자매들도 자매같은 느낌도 없고 커플들도 하나같이 다 안 어울림. 즐겁게 놀은 장면 없이 갑자기 사랑고백??? 이휴... 그리고 왜 어린시절의 에이미가 제일 늙어보이는건가. 재미없는 영화를 봐도 댓글달 생각안했는데 전작비교 이건 뭐. ㅠㅠ 1995년 개봉 작은 아씨들이나 다시 찾아서 봐야겠다!!!!벌써 25년전이라니... 
91,7,2020.02.14 08:57,"원작인 책을 읽은 사람으로써, 편집이 너무 아쉬웠다. 이런 좋은 스토리로... 의상상만 탔다는 소리에 고개가 끄덕끄덕. 영상미는 볼 만 했습니다."
92,8,2020.02.13 17:11,"에이미는 영리하고 현실판단능력이 뛰어나요.덕분에 누군가가 버리거나 놓쳐버린 기회를 잘 ""주워가죠."" 주섬주섬에이미가 얄밉다는 사람들이 이해가 안 가네요."
93,8,2020.02.20 10:29,원작을 모르고 본다면 플롯 구성때문에 다소 혼란스러울듯
94,10,2020.02.17 16:03,계속 눈물이 났습니다. 사랑을 받고 싶다던 조의 말 때문에 한참을 울었어요ㅠㅠㅠㅠ
95,8,2020.02.13 01:01,페미니스트가 꼭 보았으면 하는 내가 생각하는 페미니즘 영화.
96,6,2020.02.13 13:31,페미니스트가 꼭 보았으면 하는 내가 생각하는 페미니즘 영화.
97,10,2020.02.12 15:34,"잔잔한 피아노 선율을 타고, 따뜻한 고동색에 둘러쌓여  알지 못하는 그 시절로 완벽하게 돌아간다."
98,6,2020.02.12 21:17,전 넘나 지루했어요.ㅜ 엠마왓슨 좋아해서 본건데 주인공은 조였네요.둘째.
99,8,2020.02.13 16:33,깊은뜻을 이해 못했어요
100,10,2020.02.20 16:49,시얼샤 연기 미쳤고 자매들 이야기가 너무 따뜻하다.로맨스로 뚱땅뚱땅 결혼 끝!이 아니라 여자에게 결혼이 현실적으로 어떤 의미를 가지는지 고민하게 하는 영화
101,9,2020.02.17 08:08,정말 현재의 논란거리를 어느 한 쪽에도 치우치지않게 잘 표현한 것 같고 여자들의 강인한 면과 여린 면을 잘 나타낸 것 같은 영화 좋았다
102,8,2020.02.16 22:40,에이미와 조 사이의 갈등이 가장 와닿았다. 한 집안에 재능있고 저마다의 고집이 있는 자매가 둘 있을 경우 벌어지는 상당히 현실적인 다툼들.
103,10,2020.02.17 21:30,"나는 메그이면서, 조이면서, 베스이면서, 에이미이다. 모든 캐릭터를 사랑한다."
104,6,2020.02.13 03:26,"나는 메그이면서, 조이면서, 베스이면서, 에이미이다. 모든 캐릭터를 사랑한다."
105,10,2020.02.17 15:16,여자도 감정만이 아니라 생각과 영혼이 있어요 외모만이 아니라 야심과 재능이 있어요 여자에게 사랑이 전부라는 말 지긋지긋해요.이라는 말이 여운남아요
106,10,2020.02.15 16:39,"어릴때부터 TV에서 해 주는 만화영화와 책으로 접하며둘째딸 조를 좋아하고 조와 같이 살고 싶어했던 소녀에서 이젠 자녀를 둔 부모가 되어 보니 또 다른  감동과 재미가 있었어요.  로리의 고백을 거절했던 것은 아쉬웠지만  조를 좋아하지 않을 수 없고 네 자매의 우애와 자애롭고 지혜로운 어머니의 모습은 감동을 주기에 충분하지요 극장에 아들과 함께 갔는데 딸들과 오신 분들은 많아도 아들과 오신 분들은 없더라고요 ㅎㅎ 어떤 분 블로그를 보니 영화가 원작과 많이 다르다고 하며 실망했다고 하는데 베스가 선홍열로 앓고 아버지가 부상후 회복해 집으로 돌아오는 부분까지가 1부, 그 후 이야기가 어른이 된 자매들의 이야기로 알고 있어요저는 개인적으로 캐스팅에도 살짝 아쉬움은 있었지만(특히 에이미 역할이...) 조 역할을 한 배우는 참 좋았습니다~ "
107,10,2020.02.17 01:18,조는 자기 유년시절을 잊지못해 소설까지 쓰며 평생 유년시절을 그리워한다ㅠㅠㅠ
108,10,2020.02.12 19:15,조는 자기 유년시절을 잊지못해 소설까지 쓰며 평생 유년시절을 그리워한다ㅠㅠㅠ
109,8,2020.02.13 14:58,"감동적임.원작 이야기를 모르고 봤는데도, 감정 이입하면서 잘 보았음.개인적으로 샬라메와, 로넌의 연기가 인상깊었음."
110,10,2020.02.12 19:07,이렇게나 세련된 작은 아씨들이라니
111,2,2020.02.16 00:51,너무 지루하고 연출이 계속 끊어지고 책에서 느꼈던 느낌과 캐릭터 원작 많이 틀린 느낌을 나만  느꼈을 수 있지만  조는 너무 순둥하게 나오고 에이미는 원래 나이차이가 많이 나는 어린동생이고 조만 졸졸 쫒아다니는 어린 동생인데  너무 목소리도 허스키하고 젤 카리스마가 쩔은캐릭터이고 조와 라이벌 구도로 한게 쫌그리고 베스의 죽음은 작은아씨들에서 젤 중요한 내용이고 그로 인해 조가 철이드는데  베스의 죽음을 넘 가볍게 처리 했다 내가 영화를  보면서  책을 예전에 봐서 내가 헷갈리는건가 싶을 정도로 많이  훼손을 한거 같고  페미니즘을 얘기 하고 싶었던거 같은데  너무 두서없었던거 같다 내가 젤 아꼈던 명작이었고  좋아하는 배우들이 나와서 기대 했는데 큰실망이었다 
112,8,2020.02.17 09:05,예전에는 조에게 감정이 많이 이입되었는데 나이가 드니 에이미가 더 맘에 와닿네요.
113,10,2020.02.14 18:36,내게 중요한 가치가 모두에게 정답 일수는 없으므로 우리는 그저 각자가 선택한 길에서 행복을 찾길 바라는 수밖에
114,9,2020.02.13 20:55,시대를 오가는 연출.. 진짜 감동이었다
115,7,2020.02.12 22:37,조가 글을 끝까지 쓸 수 있었던 이유.
116,9,2020.02.13 21:23,의상상 탈만하네;; 눈호강 지렸다 ㅋ
117,2,2020.02.14 19:57,너무 뒤죽박죽인 스토리 전개....흥미로운 스토리는 아니네요
118,5,2020.02.13 22:58,너무 뒤죽박죽인 스토리 전개....흥미로운 스토리는 아니네요
119,10,2020.02.12 12:31,연출 연기 구성 원작의 모두 느낌 상상 그대로 완벽한 영화
120,5,2020.02.12 19:23,겉보기에만 예쁜 영화. 난잡함. 뛰어난 배우들. 각자 따로 노는 느낌...
121,9,2020.02.23 22:35,"조의 입장에 몰입해 보아서 에이미가 얄미워보일 때가 있었다. 에이미의 입장에서 보아서 조에게 질투가 나 보일때도 있었다. 멕의 입장에서 보아서 사랑이 가장 큰 기쁨인가 생각하게 되었고, 베스의 모습에선 진심어린 따뜻함은 빛날 수 있음을 느꼈다. 자매이지만 자매이기 이전에 각기 다른 성격과 성향, 취향과 가치관을 가진 사람들이었다. 어떤 사람이든지 그저 본인모습 그대로도 충분히 빛나는 삶을 살 수 있음을 깨닫게 해주었다. 각자가 선택한 삶과 그 기준은 달랐지만 뭐가 어쨌든지 어떤 삶이 옳은건가에 기준을 평가하기 앞서 내 자신에게 옳은 행동일까가 기준이 되어 삶을 살아간다면 그런 삶은 그런 삶 스스로 충족되기 때문이다. "
122,10,2020.02.17 23:05,고전이 주는 잔잔한 감동이 계속 밀려와서 눈물이 주르륵 났다. 극장에 있던 모든 소년 소녀들이 그 옛날 어딘가의 마치 자매들을 훔쳐본 느낌이리라.. 특히 조에게 너무나 몰입했고 같이 분노하고 행복하고 사랑을 느꼈다. 조의 행복을 자꾸 바라게 되는 나를 보게 되었고ㅎㅎ 어린시절이 끝났다는 조의 말은 이십대 중반의 나에게도 슬픔으로 밀려왔다 애써 외면했지만 정말 어린 시절은 끝난것 같다 앞으로 더 좋은 어른이 되어야지 더 나은 사람이 되어야지.. 유년기의 파스텔 색감이 청년기의 가을낙엽 같은 색감으로 바뀐 것 처럼 나도 그렇게 성숙해져야지 
123,10,2020.02.17 15:11,사랑하는 것과 사랑받는 것은 다르다
124,2,2020.02.17 16:03,"너무 기대했던 영화인데, 너무 지루해서 자다깨다를 반복하다 나왔네요 ㅠㅠ전반적으로 어수선하고, 산만했어요"
125,10,2020.02.12 17:07,내가 어릴 적 소설을 읽으며 상상하던 그대로가 영화로 연출되었다 두 시간 내내 울면서 봤다
126,10,2020.02.13 01:30,내가 어릴 적 소설을 읽으며 상상하던 그대로가 영화로 연출되었다 두 시간 내내 울면서 봤다
