,평점,일시,감상평
2595,10,2020.04.03 23:58,원작을 너무 잘 재현해낸 것 같고 정말 재밌어서 영화관에서 3번 봤어요! 모든 사람들이 이 영화를 꼭 봤으면 좋겠습니다. 그레타 거윅 영화 너무 좋아요 ㅜㅜ
2596,10,2020.04.03 23:09,
2597,7,2020.04.03 16:43,나쁘진 않았는데 기대를 너무 많이한듯.. 그래도 후회없이 잘 보고 왔습니다~
2598,8,2020.04.03 16:20,"미운 구석 없이 다정한 영화.  모두가 좋은 사람들이라는 점에서 심심하게 다가오기도 하겠지만, 이는 &#39;어떤 가치관이 우위이냐 열위이냐&#39;가 문제가 아니라 좋은 사람이 되는 것이 중요하다는 것을 의미한다. "
2599,6,2020.04.03 01:06,"재해석과 그 방향성의 정치적 옮음, 메시지 다 좋다.영상미도 뛰어나고 고증도 훌륭했다.그러나... 아무리 그래도...내게는 1949년작, 준과 리즈의 작은 아씨들이 아직까지는 최고의 작은 아씨들이다."
2600,10,2020.04.03 00:45,
2601,10,2020.04.03 00:26,
2602,9,2020.04.02 23:21,우리가 고전을 사랑하는 이유
2603,8,2020.04.02 22:56,(이름이 기억이 안 난다) 조의 미래의 남자친구가 될 사람이 피아노칠 때.. (쓰고 나니 이거 스포 같은데...)
2604,6,2020.04.01 21:49,(이름이 기억이 안 난다) 조의 미래의 남자친구가 될 사람이 피아노칠 때.. (쓰고 나니 이거 스포 같은데...)
2605,10,2020.04.01 08:55,
2606,7,2020.03.31 23:55,여성의 이성이 아닌 이상을 그린다. 소소한 재미를 곁들인 좌충우돌 4자매 성장기.
2607,6,2020.03.31 23:35,"초반에 왜 이렇게 시끌. 조잘대는게 정신없었다. 해피엔딩은 결혼인거니?시대고증, 음악이 클래시컬."
2608,4,2020.03.31 00:49,고전미와  잔잔함. 한마디로  잔잔~~~~
2609,8,2020.03.30 00:03,옛날 암스트롱 버전의 장점을 포기하며 만든 영상미가 스크린타임 전체를 끌고 가는데 좋았습니다.
2610,7,2020.03.29 01:49,You must not limit yourself.
2611,10,2020.03.28 16:59,네 자매 모두 영리하고 사랑스럽다. 에이미 그동안 미워해서 미안해... 티모시...ㅜㅜㅜ 나올때마다 심장이 떨려서...
2612,8,2020.03.28 01:19,결국 여성은 자기 재능 발휘해서 돈 벌어서 학교 차리고 남자도 가족도 챙기라는 건가..미국식 현대 자본주의의 경제 관념???
2613,8,2020.03.27 11:59,시간이왔다갔다하는게 좋치는안았는데화면이랑 옷이랑 영상미가있다.
2614,9,2020.03.27 11:52,플랫 사용이 정말 기가막히더라. 엠마 왓슨의 미모는 덤이고.
2615,7,2020.03.27 08:27,자매 치고는 영어발음이 미국발음이랑 엠마왓슨영국발음 때문에 친자매 같다는 상각이 너무 안들어 몰입도가 깨짐
2616,8,2020.02.18 15:40,현재의 캐릭터들에게 초점을 둔다면 마냥 따뜻한 이야기만은 아닐텐데.
2617,10,2020.02.16 16:59,
2618,10,2020.02.14 22:44,세상의 모든 이들이 사랑으로써 이어지기를..
2619,7,2020.05.11 18:07,배역에 몰입도는 떨어지지만  로리의 퇴폐미는 일품. 마냥 착한이야기 같으면서도 중간중간 정신나간 이야기도 있고..  뭐 결국 내취향은 아님.. 하하;;
2620,10,2020.05.03 21:32,마음이 한없이 따뜻해진다. 가족 친구 연인 이웃 나를 이루는 것은 나를 둘러싼 사람들이라는 걸 알게 되는 영화. 모두가 모두에게 감사하고 자기 마음의 뜻을 밝히며 행복하게 살길
2621,10,2020.05.03 14:26,너무너무 따듯한 영화였어요
2622,10,2020.04.19 19:39,이런게 영화다 1년에 한번 나올까 말까한 명작
2623,10,2020.04.10 13:51,감독이 이 이야기를 각색하면서 얼마나 많이 고심했을지 그 노력의 흔적이 엿보인다. 장면들 중 그 무엇 하나 버릴만한 것이 없다.
2624,10,2020.04.07 02:19,모든면에서 나에게 최고의 영화였다남성위주의 영화와 여성은 단지 남자의 부인으로써만 다루어지는 대다수의 영화와 꿈과 야망보다는 사랑을 선택하는 여성을 그린 영화에 질렸을쯤 이 영화를 발견하였다. 여성이라는 존재에겐 사랑이 전부가 아니고 야망과 꿈이 있다는 나의 사상을 사랑스럽게 지지해주는 이 영화의 모든것은 말로 표현할 수 없을것이다. 
2625,10,2020.04.02 12:06,"배우, 작가, 음악가, 화가의 꿈을 가진 네자매의 성장 스토리를 담은 드라마 멜로, 로맨스영화다. 1868년 루이자 베이 올컷의 자전적 소설을 영화화 것이다. 작은 아씨들은 이번 영화를 포함해 총 7편이 영화로 제작되었다.  그중에서도 올드팬이 좋아하는 명작이라면 캐서린 햅번이 주연을 맡았던 1933년 &#39;작은 아씨들&#39; 일 것이다. 그런데 개인적으로는 1994년 작품 질리언 암스트롱이 감독을 맡았던 &#39;작은 아씨들&#39;이 기억에 남는다. 7편을 다 보진 못했지만 이작품의 원작이 가지는 완성도는 영화가 도저히 뛰어 넘을 수 없음에도 잊혀질 때 즈음이면 부단히 스크린에 등장하는 것을 보면 정말 대단하다는 생각이 든다. 이번 작품도 실망시키지 않았다. 전작보다 현대적인 시대적인 감성과 서정성을 담고 있어 남녀노소를 불문하고 좋아할 만한 스토리로 각색되었다. 유년시절의 네자매이야기는 짧지만 강렬했고 베스의 죽음과 멕의 결혼으로 그녀들이 꿈꾸었던 유년시절의 이상은 끝이난다. 하지만 그것은 끝이 아니라 새로운 시작이었다. 꿈을 쫓아가는 네자매의 길은 달랐지만 그녀들을 미워할 수 없는 것은 서로의 단점마저도 사랑해 주는 포용력이었다. 조 마치가 한 대사가 아직도 생생하다. &#39; 미워하기엔 인생이 너무 짧아&#39; 역시 문학소녀다운 말이지만 자매들의 끈끈한 사랑을 느낄 수 있다. 필자는 평점 10점을 부여해 본다. "
2626,6,2020.03.29 19:05,시얼샤와 티모시가 사랑스럽다. 영화가 전하고자 하는 바는 잘 모르겠음ㅎㅎ
2627,10,2020.03.26 05:39,책내용은 잘 모르지만 재미나게 봤네요 다들 매력이 넘쳐
2628,10,2020.03.26 03:31,"""I love you JO, I love you JO"" 의 여운이 아직 있네요.너무 예쁜영화 사랑스러운 영화 꾸밈 없는 영화 잘봤습니다!"
2629,5,2020.03.26 01:10,
2630,10,2020.03.26 00:09,행복하고 따뜻한 즐거운 영화 :) 너무 울어서 얼굴 촉촉
2631,10,2020.03.25 23:48,
2632,7,2020.03.25 05:40,4자매의 사랑스러운 이야기. 1900년대 초 당시 시대 상황을 잘 표현했다. 현 독신주의 여성들에게 추천해주고픈 영화
2633,8,2020.03.24 19:36,"제인오스틴 소설을 영화로 보는 듯한 느낌. 당시 사회적 약자인 여성들을 가족을 통해서 시대적반영이나, 전달하고자 하는 바를 잘 전달한 것 같음. 내가 여자관람객이었다면 10점을 줬을 영화."
2634,10,2020.03.24 03:14,
2635,7,2020.03.23 19:37,"흐뭇해지는 스토리와 연출, 연기. 특히 여성들이 좋아할 만한 요소는 다 갖췄다"
2636,10,2020.03.23 18:01,
2637,10,2020.03.23 16:10,
2638,10,2020.03.23 12:09,
2639,10,2020.03.23 11:09,플로랜스 퓨의 연기는 진짜 보는 내내 감탄했다
2640,10,2020.03.23 01:16,예쁘다 영화도 배우도 연출도♥
2641,8,2020.03.23 01:03,내가 좋아하는 시얼샤가 나와서 봄. 조에 몰립해서 보니 에이미가 넘 얄미웠음. 예나 지금이나 난 아직 조가 좋음. ㅎㅎ 다만 메기랑 에이미 역활을 바꿔서 했음 더 어울렸을 것 같음. 엠마의 메기역할은 왠지 캐릭터가 부자연스러웠음. 
2642,10,2020.03.23 00:58,엔틱한 카페에서 커피 마시면서 보고싶은 영화
2643,10,2020.03.22 20:41,왠지 모르게 울컥 눈물이 나는 장면들이 많네요 ㅠㅡㅠ 기대 안하고 봤는데 의외로 몰입감 있고 여운이 많이 남는ㅎㅎ
2644,9,2020.03.22 20:33,
2645,8,2020.03.22 19:46,헤르미온느 이미지가 강해서 엠마왓슨이 첫째라는게 낯설다
2646,10,2020.03.22 17:21,조를 응원하면서도 에이미에게 마음이 쓰였던 ..
2647,10,2020.03.22 13:11,
2648,10,2020.03.22 11:42,
2649,10,2020.03.22 09:50,
2650,10,2020.03.22 01:21,사람마다 행복의 기준은 다르다.
2651,10,2020.03.22 00:36,어렸을 때 읽었던 감정이 떠오릅니다.
2652,10,2020.03.21 23:01,편집상 줘도 될만큼 구성과 편집이 훌륭한 영화^^
2653,10,2020.03.21 22:59,
2654,10,2020.03.21 21:18,
2655,10,2020.03.21 21:12,"역시 배우들보고봤는데, 생각보다 영상미도 좋았구요^^ 깔끔하고 뻔하지않아 좋았습니다. 시얼샤로넌과 티모시살라메 넘 매력적이예요~"
2656,10,2020.03.21 20:44,"원작, 위노나라이더가나왔던 작은아씨들은 기억도 안날만큼 좋았다~"
2657,2,2020.03.21 19:43,
2658,10,2020.03.21 16:09,사랑스런 조셉핀이 요즘 시대에 태어낫으면 어떻게 되엇을지
2659,10,2020.03.21 00:24,사랑스런 조셉핀이 요즘 시대에 태어낫으면 어떻게 되엇을지
2660,10,2020.03.20 22:26,이영화를 보며 내가 과거에 느꼈던 기쁨들지금은 잊혀져 버린 그 기쁨들이 생각이 났다이것만 해결되면 정말 더이상 바랄게 없어 이렇게 지나가 버린 나의 감동과 기억이 살아난다잊지말자
2661,10,2020.03.20 09:38,또 보고싶어요. 책도 샀어요!
2662,10,2020.03.20 00:35,외롭다고 느꼈던 때를 지나 혼자로서도 행복한 조의 모습을 기대했으나 그러지 못함이 아쉬웠지만 결국 자신의 꿈을 이루는 모습이 있어 다행이다.
2663,10,2020.03.19 23:27,
2664,7,2020.03.19 20:40,조랑 테디만 이어졌으면 완벽한 영화 에이미랑 테디가 왠말이야..ㅠㅜ
2665,10,2020.03.19 19:16,오랜만이 잔잔한 드라마틱 시대극을 봐서 좋다 ㅠ ㅠ
2666,9,2020.03.19 17:33,아직까진 내 인생영화!
2667,10,2020.03.19 15:57,오랜만에 감동 받은 영화예요 예쁜영화
2668,10,2020.03.19 06:38,아름다운영화아직까지 감동이 마음속에서 지워지질않네요.♡작은아씨들을 보는 내내저도 어린시절 추억속으로 잠시여행을 다녀온듯 합니다.행복을 전해주는 최고의 영화 입니다.
2669,8,2020.03.19 00:02,너무 잘 봤어요. 그런데 개인적으론 1994년 작은아씨들 캐스팅이 제일 어울리는거 같아요
2670,10,2020.03.18 23:42,영화를 감상함으로서 얻고자하는 것을 얻게해주는 영화
2671,10,2020.03.18 22:24,원작 애기때 읽어서 생각이 안 나는데 다시 읽어봐야겠네요. 잔잔한 이야기인데도 왠지 눈물이 나요..근데 로리는 뭐하는 놈이죠? ㅎ
2672,5,2020.03.18 21:42,현대적 의미와 맞닿아 있다는 것에 의의
2673,9,2020.03.18 19:16,스토리가 좋았고 영상미도 좋았습니다
2674,8,2020.03.18 15:55,"캐스팅에 대해서는 아쉬움이 있지만, 꽤 재미있게 봤다."
2675,10,2020.03.17 02:37,"입체적인 인간상, 불완전함을 인정하는 성장과정. 우리의 모든 순간이 소중한 추억이고 그와 동시에 현실적 타협도 필요하다는 인생선배의 가르침. 울림이 매우 큰 영화이다."
2676,10,2020.03.17 01:12,슬펐지만 슬프지 않은 영화. 작은 아씨들이 주는 여운과 행복감이 오래오래 남았으면
2677,10,2020.03.17 00:43,최고의 영화. 그냥 최고
2678,10,2020.03.16 22:23,진짜 기대안했는대 너무재밌었어요!
2679,10,2020.03.16 20:48,"늘 둘째 조의 진취적인 모습이 좋았다. 스스로 자신의 삶을 개척하고, 정의롭고, 자신의 소중한 것을 훼손?시킨 동생마저도 진정으로 용서할 줄 아는 멋진 사람이다."
2680,7,2020.03.15 22:38,원래 이야기를 알았다면 더 재밌었을텐데 영화를 먼저봐서 아쉽다
2681,10,2020.03.15 20:44,"인생영화네요마냥 가볍기만한 블록버스터들, 타임킬링용 영화보다 깊이있으면서 무겁지않은 유쾌함에 눈도 즐거워 행복했어요 !"
2682,6,2020.03.15 18:45,유트브 아주 옛날것이 더 재밌어요.연기도 훨씬 낫고요화질이 좀 그렇지..감동도! 극장판은 영상미.의상 이쁩니다만..딱 거기까지.
2683,10,2020.03.15 16:35,페미와 안페미를 떠나서 영화적 얼개와 스토리가 훌륭한 영화
2684,8,2020.03.15 14:28,페미와 안페미를 떠나서 영화적 얼개와 스토리가 훌륭한 영화
2685,9,2020.03.15 02:45,등장인물 한명한명이 다 이야기가 있고 이영화를 보는 관객들의 다양한 관점을 충족시켜주는 영화네요.
2686,9,2020.03.15 02:37,
2687,10,2020.03.15 02:32,너무 좋아요 너무너무 ㅠ 최고입니다
2688,9,2020.03.14 23:52,
2689,10,2020.03.14 23:29,너무 재밌었어용 책도 읽어보고 싶네여
2690,10,2020.03.14 23:29,너무 재밌었어용 책도 읽어보고 싶네여
2691,8,2020.03.14 23:25,영상미 굿. 편집은 노굿
2692,10,2020.03.14 23:08,구성과 연출이 완벽에 가까운 영화네요. 그냥..단 한 마디로 표현하기에도 아깝네요.
2693,6,2020.03.14 22:21,"오래전 동명의 영화들을 떠올리며 지난 시간을 그리워 함.기대를 너무 해서일까, 내가 촌스러움을 사랑해서일까!(※배역은 레리외에는 와닿지 않음)"
2694,2,2020.03.14 21:31,줄거리나열 최악 음악과 배경은 좋음
2695,10,2020.03.14 21:05,줄거리나열 최악 음악과 배경은 좋음
2696,9,2020.03.14 21:03,에이미가 인상적이었음.
2697,10,2020.03.14 19:24,
2698,6,2020.03.14 19:11,자매들의 아기자기한 우정 및 러브 스토리 그리고 소설이라는 형식으로 이야기를 풀어가면서 자아실현으로 마무리. 뒤로 갈수록 볼만하네.
2699,10,2020.03.14 19:03,좋았어요 엄청 재미나게봤어요
2700,10,2020.03.14 18:47,모든게 다 다 좋았고 그중에서 일등은 미친 엠마왓슨 너무 이쁘다 ~
2701,10,2020.03.14 18:30,그레타 거윅 감독님과 내가 좋아하는 배우님들이 총출동했다는 거 자체만으로 기대되었는데 영화를 보니 완벽한 스토리와 대사는 물론 영상미까지 완벽했다. 이런 스토리를 가진 영화를 좀 더 많이 보고 싶다는 생각이 든다. 모든 면에서 참 좋았다. 
2702,10,2020.03.14 18:19,이해가안가는 결말이긴하지만 현실은 소설가 성공한거고 영상미가 밝아지는부분은 회상인가? 아님 소설결말인가 ㅜ
2703,10,2020.03.14 17:11,4째가 좀 더 이뻤으면  영상미가 있었을텐데    오랫만에 고전영화 너무 좋아여
2704,8,2020.03.14 16:35,역시 사랑은 타이밍이야 !
2705,10,2020.03.14 11:46,재밌게잘봤어요 보면서 눈물도 흘렸어요ㅜㅜ
2706,9,2020.03.14 10:37,기대보다 감동적이었습니다
2707,10,2020.03.14 09:10,나름 소소한 일상의 감동 이었어요
2708,8,2020.03.13 23:50,영화를 다 보고 나서도 상실감이 짙게 남아있네요.감동스럽게 봤습니다. 무엇보다 연출이 너무 깔끔하고 좋은거 같아요
2709,7,2020.03.13 15:32,원작에 충실하나 촌스럽지 않다.
2710,10,2020.03.13 15:11,기존 작은아씨들과 다르게 리메이크 되면서 재해석된 조와 열린결말이 좋았어요.
2711,10,2020.03.13 14:01,
2712,9,2020.03.13 08:45,모두 다 그럴싸한 계획을 가지고 살지만 결국은 다들 그러하더라~~~~보는 내내 시얼샤로넌만보임.여자로써 삶은 기다리는일..인내하는일.많은 울림을 주는 이쁜 영화
2713,10,2020.03.13 08:34,아니 왜 나 울면서 보는 거야?
2714,10,2020.03.13 08:22,아니 왜 나 울면서 보는 거야?
2715,10,2020.03.13 03:33,
2716,10,2020.03.13 02:31,
2717,10,2020.03.13 02:06,
2718,10,2020.03.13 01:25,"영화속 조에게 더 자극적인 글을 쓰라던 그 출판업계 사람. 그러나 조는 그럼에도 불구하고 쓸 수 있는 이야기, 쓰고 싶은 이야기를 쓴 것이다. 그것이 난 자신의 글에 대한 믿음 사랑이라고 생각했으며 그로써 조가 행복하길 바랬다. 그리고 실제로 조의 글을 사랑받았다. 영화 속 조의 글처럼 이 작은아씨들역시 우리가 어떻게 이 이야기를 사랑하지 않을 수 있을까. 총과 칼 마약없이도, 충분히. "
2719,10,2020.03.13 00:18,믿고 보는 그레타 거윅 감독의 황홀한 여성 서사!!
2720,10,2020.03.12 23:25,
2721,10,2020.03.12 23:23,
2722,10,2020.03.12 21:12,"I love you, Emma Watson!"
2723,9,2020.03.12 20:29,네자매 모두를 응원하게 되던 영화.
2724,10,2020.03.12 19:37,2020년 버전 작은아씨들!
2725,9,2020.03.12 18:20,옛날책을 꺼내서 읽은 느낌!!!좋았어요
2726,10,2020.03.12 14:24,옛날책을 꺼내서 읽은 느낌!!!좋았어요
2727,10,2020.03.12 03:40,"이 영화를 보고 느꼈던건 모든 사랑은 타이밍이고, 모든 사랑에는 인연이 있다는 것이다."
2728,10,2020.03.12 02:05,
2729,10,2020.03.12 02:01,
2730,10,2020.03.12 01:14,잔잔하지만 열렬하게 성장하는 자매의 모습에 왠지모르게 눈물이 났다
2731,8,2020.03.11 13:52,여운에 남는 영화...원작에서 더 나아간 스토리가 좋았어요 의상과 배경도 너무 예쁨
2732,9,2020.03.11 13:45,
2733,10,2020.03.11 05:00,
2734,10,2020.03.11 02:01,영화를 보는 내내 조와 그녀의 가족들을 위해 울고 웃었다. 그 순간만큼은 나도 조가 되어 있었다.
2735,10,2020.03.11 02:00,
2736,9,2020.03.10 22:18,"좋은 스토리, 좋은 연기, 마지막 감동"
2737,8,2020.03.10 19:49,책을 워낙 재밌게 봐서.. 영화에서 조금씩 바뀐 인물들의 성격을 보니 몰입이 좀 떨어졌지만 재밌었습니다.
2738,10,2020.03.10 19:43,
2739,9,2020.03.10 19:19,재밌게 잘 봤습니다. 조의 대사가 특히 좋았습니다.
2740,9,2020.03.10 16:39,굉장히 스피디한 전개와 여배우들의 아름다움 때문에 재밌는 영화..!
2741,10,2020.03.10 12:32,그린북 이후에 영화다운 영화를 봤네요
2742,10,2020.03.10 10:58,정말 원작을 잘 살린 것 같음. 보는 내내 원작이 다시 보고 싶어질 정도로 너무 즐거웠습니다. 영화 끝나고 작은아씨들 책 사려고 돌아다니는 나와 친구들을 발견함.
2743,10,2020.03.10 09:11,보는내내 너무 사랑스러운 영화 ㅜㅜ
2744,10,2020.03.10 09:08,잼있었어요 여자친구도 매우만족
2745,10,2020.03.10 03:17,난 공포 스릴러 매니아임에도 불구하고 항산 이런 로맨스 무비를 보고 나면 최근 들어 가장 잘 봤다 싶은 영화로 생각되는듯ㅎㅎㅎ 그만큼 영화가 좋았던듯ㅎㅎ 그래.. 로리라면 나도 성공보단 사랑을 택하겠어ㅠㅠ 메릴 스트립도 많이 늙고 완전히 할머니가 됐던데 진짜 세월이란ㅠㅠ 맘마미아때보다 확실히 더 늙은게 느껴져서 가슴이 아픔ㅠ 
2746,10,2020.03.09 15:31,"여운이 오래 남는 영화, 대사 하나하나가 명언인 영화, 잔잔한 감동을 주는 영화."
2747,10,2020.03.09 14:42,스토리가 좋아요 주인공도 매력적
2748,10,2020.03.09 13:14,정말 좋았어요 잔잔한 감동 시대를 앞서나간 여성 조가 정말 멋졌구요 한편으론 그닥 달라진게 없는 것 같다는 생각에 씁쓸하기도
2749,10,2020.03.09 02:19,놀라운 원작. 놀라운 각색.
2750,10,2020.03.09 01:50,
2751,10,2020.03.09 01:45,몸으로 움직여서 살아가던 우리의 유년기...그립다
2752,10,2020.03.09 00:42,
2753,10,2020.03.08 23:49,그냥.... 반짝이는 그녀들의 행복하고 웃음넘치는 장면에서 왜 울컥울컥 하는것일까
2754,10,2020.03.08 22:15,포근하지만 지루하지 않은 영화. 대사 하나하나 참 예쁘고 의미 있다. 배우들의 연기도 훌륭했고 매력있었다.
2755,10,2020.03.08 21:22,모든 장면이 그림 같았다...
2756,10,2020.03.08 21:13,작은아씨들. 사랑은 타이밍이란 생각이 확와닿은 영화. ㅜㅜ슬펐다..그래도 또 새로운 사랑은 찾아오네!!♥
2757,10,2020.03.08 17:36,작은아씨들. 사랑은 타이밍이란 생각이 확와닿은 영화. ㅜㅜ슬펐다..그래도 또 새로운 사랑은 찾아오네!!♥
2758,10,2020.03.08 15:48,썰물같은거야. 막을수없어각인물들이 가지고있는 가치관과 인생들이 모두 이해가 되고 감동적이네요
2759,10,2020.03.08 15:07,여자라면 조의 인생에 어느 한 일부분이라도 공감하지않을까 그래서 울컥하고 눈물이 흐르는 게 아닐까
2760,9,2020.03.08 11:49,존잼 으홍헝이해력 떨어지는 편인데 정보 하나없이 봐도 연기에 몸을 맡기면 다 이해됨근래 보기드문 수작
2761,10,2020.03.07 19:10,흥행 1234위 다 봤는데요 이걸 보세요 강추 단 코로나 깨문인지 관람객이 3명이라 좀 그랬음
2762,10,2020.03.07 13:39,인생영화
2763,10,2020.03.07 13:03,"Classic의 재해석. 그레타 거윅의 성장과 성숙을 제대로 보여주는 영화이다. 배우들의 앙상블이 좋았고, 마지막에 조 마치가 자신이 쓴 책의 초판본은 품에 안을때 같이 뭉클해져서 눈물이 났다."
2764,10,2020.03.07 07:49,자극없는 드라마 그들의 삶을 볼수 있어 행복했음
2765,10,2020.03.07 02:40,자매들의 모습이 우리 자매들 모습같아서 웃기고 감동적
2766,9,2020.03.07 02:08,
2767,9,2020.03.07 01:30,잔잔하면서 강한 인상을 남기는 영화. 가부장적인 사회에 작은 목소리로 비판을 한다. 남자가 하는 건 여자도 할 수 있고 여자가 하는 건 남자도 할 수 있다. 남녀로 나뉘기 전 우리는 다 같은 사람이다. 차별없는 사회가 빨리 실현되었으면. 
2768,10,2020.03.07 00:36,진짜 너무너무 보고 싶던 영화를 지금에서야 봤지만 역시 기대만큼 재미있었고 감동도 많았다. 여운이 깊게 남는 영화.
2769,10,2020.03.06 23:45,잔잔한 감동이 있었던 영화
2770,10,2020.03.06 22:38,올해 크리스마스선물을 미리받은느낌!
2771,10,2020.03.06 22:30,원작 소설을 그대로 재현해낸 부분도 감독의 연출과 의도로 조금 달라진 장면도 모두 훌륭하고 감동적입니다.
2772,10,2020.03.06 18:53,제가 제일 인상깊었던 부분은 여성은 왜 꼭 사랑을 해야하냐며 말하면서도 사랑을 받고 싶다고 외롭다고 외치던 장면이 너무 인상깊었어요.. 조의 마음이 어떤 마음인지 전해질정도로 마음이 아프더라구요..
2773,10,2020.03.06 18:46,남 녀 노 소 다 좋아할 페미니즘의 대표작
2774,10,2020.03.06 16:39,지루하지않고 재미있다
2775,10,2020.03.06 16:21,감명이 깊은 영화 !! 조 꽃길만걸어
2776,8,2020.03.05 18:07,잔잔하니 여유롭게 볼만합니다 여유가 필요할때 보시는 걸 추천합니다.
2777,8,2020.03.05 16:10,바닥에 종이를 펼쳐가며 밤새 글을 쓰던 조는 너무 멋있었다
2778,8,2020.03.05 11:52,신파없이 인물들의 연기를 통해서 감동을 주는 영화에요. 시얼샤 로넌은 정말 섬세하면서도 적극적인 여성을 표현했고 엠마왓슨도 연기가 너무 좋았어요. 시간이 지나면서 같은 공간인데도 분위기가 다르게 표현되는 것도 좋았어요. 인물들의 행동 하나하나가 대부분 개연성 있게 공감됐어요. 다만 너무 오래전에 작은 아씨들을 읽은지라 시간에 따른 잦은 교차편집이 단점이라고 봐야할 것 같아요. 자세히 보면 구분이 가는데 그냥 생각없이 보면 언제 이야기인미 헷갈려요 . 진짜 수작이에요.은은하게 아 저런게 사람사는 거지 저게 사랑이지..아 나도 저랬던 때가 있었지  맞장구 치면서 봤어요...코로나 때문에 큰 영화관에 달랑 저포함 2명이서 본게 흠이에요...코로나만 아니었어도 더 흥행할 작품인데..ㅜㅜ 
2779,8,2020.03.05 11:37,따뜻하고 아름다운..
2780,8,2020.03.04 09:47,따뜻하고 아름다운..
2781,8,2020.03.03 22:23,옛날 소설로 읽었던 감동 그대로 입니다
2782,7,2020.03.02 16:52,의상이 아름답고 시대상을 잘 녹여냄
2783,8,2020.02.29 23:45,작은 아씨들 현대판 버전.
2784,8,2020.02.29 18:20,아는 이야기 이지만 볼만했음. 따뜻한 이야기라 요즘 분위기에 보기 좋은 영화였음. 의상이나 연기 등은 돋보임
2785,8,2020.02.27 12:46,고전을 다시 보는 재미! 연기도 다들 훌륭하고 재미있넜어요
2786,8,2020.02.27 12:40,"예전에EBS에서 예전 버전의 영화를 본적이 있어요 위노라라이더,클레어데인즈,커스틴던스트,수잔서랜든 같은 탑배우들이 나와서 전 버전도 저는 잼있게 잘봤어요.기회가 되면. 꼭 보시길 아역배우였던 커스틴던스트를 볼수있는 기회죠~그때 너무 잼있게봐서 어제 극장가서 봤는데 기대를 저버리지 않았네요 여자분이라면 엄마랑 함께보는걸 추천해요~나이드신 분들도 작은아씨들을 아시더라구요  영상미도 예쁘고 간만에 좋은 영화였습니다.막내 배우 캐스팅이 살짝 아쉽네요.제 개인적인 생각입니다 "
2787,9,2020.02.27 11:00,에이미와 로리의 감정선이 이해되지 않았을 뿐 다 좋았어요 책을 보면서 어렴풋이 상상했던 모습을 실제로 볼 수 있어서 좋았습니다
2788,9,2020.02.26 22:08,이야기도 좋고. 너무나 사랑스러운 배우들 덕분에 행복하게 보았습니다.^^ 아름다운 배우들. 감사해요~
2789,8,2020.02.26 22:07,"아름다운 영상미, 배우들의 열연, 명작에 기반한 검증된 스토리의 영화. 평범한 듯 하지만 대사 하나하나가 가슴을 울리는 게 있고 원작과는 달리 결말부를 현대적으로 재해석한 점이 굉장히 좋음.아쉬운 점은 과거와 현재가 예고없이 수시로 교차돼서 초반에 특히 정신이 없는데 이로 인해 사전정보없이 본 사람들에겐 영화가 불친절하게 느껴질 수 있음. "
2790,8,2020.02.26 14:57,에미미는 천제다 . 에이미짱 인듯
2791,10,2020.02.26 14:44,
2792,10,2020.02.26 14:39,이야기구성이 조금 헷갈리지만 강한 메세지도 받고 따뜻한 온정도 느끼고 좋았음
2793,10,2020.02.26 14:05,영리한 각색과 신선한 편집. 뛰어난 영상미만으로도 볼 가치가 충분한 영화인데 고전의 가치까지 더해지니 무조건 봐야 할 영화이다. 영화를 보고나서 자신의 삶을 되돌아보게 되고 좀더 나은 방향으로 이끌고 싶은 생각이 들게 된다면 그보다 좋은 영화는 없을 것이다.                 &#34;우리의 인생은 모두가 한편의 소설이다&#34; 
2794,9,2020.02.26 13:31,영리한 각색과 신선한 편집. 뛰어난 영상미만으로도 볼 가치가 충분한 영화인데 고전의 가치까지 더해지니 무조건 봐야 할 영화이다. 영화를 보고나서 자신의 삶을 되돌아보게 되고 좀더 나은 방향으로 이끌고 싶은 생각이 들게 된다면 그보다 좋은 영화는 없을 것이다.                 &#34;우리의 인생은 모두가 한편의 소설이다&#34; 
2795,8,2020.02.26 10:59,"유명한책이지만 안봐서 영화로라도 봤습니당딱히 재미가 있지도, 없지도 않은 그냥 쏘쏘한 영화네요살짝 슬프기도하고 잔잔하게 재밌기도하고 전반적으로 그냥 쏘쏘2시간 러닝타임이라 엄청 재미를 기대하고 본다면 졸릴지도 모르겠어요 "
2796,8,2020.02.26 09:39,잔잔한 파도속의 진주를 찾은 듯한
2797,8,2020.02.26 03:16,아름다운 영상미 화려하기도 하고 때론 아늑하기도 한 집과 배경
2798,6,2020.02.25 22:12,분명 좋은 영화긴 한데... 잔잔하게 그냥저냥 볼만은 합니다. 엠마 왓슨 존예
2799,8,2020.02.25 18:37,"그냥 잔잔하게 볼만한 영화라 생각했는데, 꽤 유명한 소설이 원작이었네요. 이 시점에서 봤기 때문에 조금 진부한 스토리라 느껴진거지, 15년만 일찍 봤어도 감동이 배가 됐을듯"
2800,8,2020.02.25 12:15,원작에서 느끼는 섬세함을 느낄수는 없었지만 배우들의 연기와 영상미가 돋보였어요 ~
2801,9,2020.02.25 10:33,전작도 이번작도 평범한 얘기를 흡입력 있게 만드는 감독이 대단하다.
2802,9,2020.02.25 09:27,어느새 조를 응원하고 있는 나를 발견..!
